month,Air Vac,Autoparts,Beer,Cigarette,Cigarette Carton,Fountain/Coffee,Lotto Sales,MID,PRE,Philip Morris USA Inc,Pump Test,REG,Sales Non-Tax,Sales Tax,Sales Taxable,Scratchoff Sales,Soda,Tobacco,US Smokeless Tobacco Brand
2020-01,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1
2020-02,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1
2020-03,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0
2020-04,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1
2020-05,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0
2020-06,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0
2020-07,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1
2020-08,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0
2020-09,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
2020-10,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1
2020-11,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
2020-12,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
2021-01,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
2021-02,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
2021-03,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
2021-04,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
2021-05,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
2021-06,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
2021-07,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
2021-08,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0
2021-09,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2021-10,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2021-11,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2021-12,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2022-01,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-02,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-03,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-04,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-05,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-06,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-07,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-08,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-09,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-10,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-11,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2022-12,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-01,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-02,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-03,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-04,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-05,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-06,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-07,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0
2023-08,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-09,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-10,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-11,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2023-12,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
2024-01,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-02,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-03,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-04,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-05,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-06,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-07,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-08,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-09,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-10,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-11,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2024-12,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
2025-01,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-02,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-03,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-04,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-05,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-06,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-07,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-08,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-09,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-10,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-11,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-12,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
