date,forecast,lo80,hi80,lgbm,sarima,dow_mean
2026-01-01,9823.08,9616.44,12141.6,8493.82,10666.48,10308.93
2026-01-02,11835.28,10587.75,13215.24,10918.97,11809.03,12777.85
2026-01-03,10914.69,9157.27,12802.83,10131.78,11155.86,11456.45
2026-01-04,9242.98,7698.49,11026.23,8286.07,9836.91,9605.96
2026-01-05,9889.19,8545.74,10517.62,9068.85,10229.86,10368.86
2026-01-06,10090.23,8445.77,10613.77,9812.07,10267.45,10191.16
2026-01-07,10936.59,9178.08,11782.51,10605.72,10915.72,11288.34
2026-01-08,10285.39,8988.99,12051.21,9883.59,10663.64,10308.93
2026-01-09,11985.07,11292.85,12210.24,11357.71,11819.66,12777.85
2026-01-10,11200.39,11135.68,11572.64,10974.78,11169.94,11456.45
2026-01-11,9802.71,9090.34,10440.39,9951.66,9850.5,9605.96
2026-01-12,10204.99,9740.1,11870.68,10001.73,10244.39,10368.86
2026-01-13,10309.82,9646.95,13030.55,10456.06,10282.24,10191.16
2026-01-14,10796.69,9665.38,11732.43,10170.19,10931.53,11288.34
2026-01-15,10390.28,9557.06,11368.16,10182.81,10679.1,10308.93
2026-01-16,12025.44,12069.12,13057.24,11461.67,11836.8,12777.85
2026-01-17,11240.29,10086.03,12195.15,11078.27,11186.14,11456.45
2026-01-18,9579.95,8550.84,10112.99,9269.12,9864.79,9605.96
2026-01-19,10030.52,9177.69,11356.94,9463.46,10259.25,10368.86
2026-01-20,10179.04,8898.55,11246.42,10048.82,10297.15,10191.16
2026-01-21,10751.46,8881.53,10876.91,10018.66,10947.39,11288.34
2026-01-22,10402.78,9918.12,11351.46,10204.83,10694.59,10308.93
2026-01-23,12009.74,10614.3,14168.32,11397.4,11853.96,12777.85
2026-01-24,11275.62,10147.99,10857.88,11168.04,11202.36,11456.45
2026-01-25,9789.27,8212.86,10772.91,9882.77,9879.09,9605.96
2026-01-26,10143.73,7907.89,10993.62,9788.21,10274.13,10368.86
2026-01-27,10250.32,9192.3,10786.0,10247.73,10312.08,10191.16
2026-01-28,10782.53,8692.22,10951.34,10095.99,10963.26,11288.34
2026-01-29,10342.09,10158.94,12857.69,10007.25,10710.1,10308.93
2026-01-30,12244.08,12360.15,13566.65,12083.24,11871.16,12777.85
